timestamp,temp,humi,vib_x,vib_y,vib_z
11566820,27.69,37.83,-376,-972,16456
11567822,27.7,38.02,-340,-948,16448
11568823,27.7,38.01,-300,-984,16456
11569824,27.72,37.98,-360,-944,16504
11570826,27.69,37.95,-352,-988,16388
11571827,27.7,37.95,-344,-904,16396
11572829,27.69,37.95,-364,-940,16532
11573830,27.69,37.93,-320,-928,16572
11574831,27.68,37.93,-304,-936,16556
11575833,27.7,37.88,-368,-936,16412
11576834,27.7,38.07,-332,-996,16472
11577836,27.7,38.08,-320,-960,16404
11578837,27.69,37.99,-316,-988,16416
11579839,27.69,37.97,-344,-956,16484
11580840,27.7,37.82,-340,-960,16344
11581841,27.69,37.93,-408,-896,16440
11582843,27.7,37.9,-424,-944,16584
11583844,27.73,37.87,-308,-1068,16428
11584845,27.71,37.94,-340,-1004,16568
11585846,27.71,37.88,-340,-948,16492
11586848,27.71,37.9,-396,-976,16488
11587849,27.7,37.84,-340,-932,16516
11588851,27.71,37.88,-396,-904,16500
11589995,27.7,37.83,-336,-976,16452
11590997,27.7,37.81,-324,-964,16484
11591998,27.69,37.81,-336,-1000,16520
11593000,27.72,37.7,-356,-920,16416
11594001,27.71,37.82,-352,-940,16480
11595002,27.69,37.78,-340,-920,16500
11596003,27.71,37.79,-344,-928,16392
11597005,27.71,37.8,-172,-872,16528
11598006,27.7,37.78,-356,-956,16456
11599007,27.7,37.81,-356,-972,16504
11600009,27.7,37.8,-320,-904,16456
11601010,27.72,37.81,-348,-928,16456
11602012,27.73,37.84,-304,-944,16396
11603013,27.72,37.83,-356,-940,16440
11604015,27.71,37.81,-328,-952,16380
11605016,27.72,37.78,-324,-1036,16456
11606018,27.71,37.85,-376,-964,16476
11607019,27.73,37.85,-360,-928,16496
11608021,27.72,37.85,-368,-952,16448
11609022,27.73,37.87,-324,-952,16420
11610024,27.74,37.76,-328,-876,16436
11611168,27.72,37.76,-296,-948,16460
11612170,27.71,37.77,-324,-960,16372
11613171,27.72,37.81,-312,-988,16520
11614173,27.71,37.73,-412,-924,16564
11615174,27.73,37.78,-296,-856,16544
11616176,27.72,37.77,-356,-948,16544
11617177,27.7,37.8,-308,-992,16556
11618179,27.71,37.82,-340,-916,16428
11619181,27.71,37.81,-352,-908,16444
11620182,27.72,37.82,-380,-1004,16496
11621184,27.7,37.86,-348,-984,16488
11622185,27.72,37.85,-380,-948,16500
11623187,27.7,37.84,-312,-936,16536
11624188,27.7,37.94,-336,-980,16468
11625190,27.71,37.94,-356,-948,16468
11626191,27.7,37.94,-332,-980,16492
11627193,27.74,37.84,-356,-972,16428
11628337,27.73,38.03,-372,-964,16400
11629339,27.71,38.04,-356,-992,16472
11630341,27.72,37.94,-328,-944,16388
11631342,27.7,38.12,-368,-896,16444
11632344,27.72,38.13,-376,-1024,16512
11633345,27.72,38.07,-300,-976,16544
11634346,27.72,38.2,-304,-1000,16372
11635348,27.73,38.16,-336,-912,16424
11636349,27.72,38.1,-352,-888,16488
11637351,27.73,38.15,-412,-956,16404
11638352,27.72,38.15,-364,-936,16360
11639354,27.72,38.09,-348,-920,16512
11640355,27.73,38.19,-388,-944,16544
11641357,27.74,38.12,-324,-928,16456
11642358,27.73,38.1,-324,-952,16448
11643360,27.73,37.98,-312,-968,16540
11644361,27.71,38.05,-360,-972,16564
11645506,27.73,38.04,-404,-960,16460
11646507,27.73,37.92,-372,-1012,16452
11647509,27.74,37.85,-264,-900,16536
11648510,27.72,38.02,-344,-900,16552
11649511,27.73,38.0,-388,-884,16392
11650513,27.73,37.82,-336,-976,16428
11651514,27.73,37.86,-332,-948,16508
11652515,27.71,37.83,-284,-960,16472
11653517,27.72,37.85,-384,-920,16496
11654518,27.74,37.82,-372,-912,16560
11655520,27.74,37.96,-388,-1004,16420
11656521,27.75,38.21,-372,-964,16496
11657523,27.77,38.56,-344,-900,16484
11658524,27.76,38.55,-308,-904,16528
11659525,27.77,38.78,-340,-948,16512
11660527,27.75,38.89,-352,-948,16484
11661528,27.76,38.94,-384,-996,16432
11662530,27.77,38.91,-356,-980,16408
11663674,27.76,38.82,-332,-952,16424
11664676,27.78,38.87,-352,-924,16372
11665677,27.77,38.95,-328,-888,16524
11666678,27.77,38.72,-372,-1008,16456
11667680,27.76,38.65,-304,-944,16372
11668681,27.76,38.64,-368,-924,16436
11669683,27.76,38.58,-376,-948,16436
11670684,27.76,38.49,-356,-888,16408
11671686,27.76,38.49,-376,-920,16396
11672687,27.77,38.46,-316,-844,16376
11673688,27.78,38.32,-416,-1024,16480
11674690,27.76,38.3,-316,-900,16516
11675691,27.77,38.39,-316,-912,16444
11676692,27.77,38.52,-424,-948,16424
11677694,27.76,38.44,-364,-960,16512
11678695,27.78,38.5,-332,-972,16416
11679696,27.78,38.4,-344,-916,16456
11680698,27.75,38.45,-352,-1000,16448
11681699,27.75,38.35,-312,-936,16372
11682701,27.76,38.39,-320,-960,16324
11683845,27.76,38.45,-360,-960,16632
11684847,27.77,38.41,-312,-984,16468
11685848,27.77,38.25,-368,-1004,16416
11686850,27.77,38.19,-276,-964,16484
11687851,27.78,38.27,-356,-992,16492
11688852,27.78,38.08,-416,-1016,16428
11689854,27.76,38.17,-340,-892,16364
11690855,27.76,38.1,-308,-948,16456
11691857,27.77,38.06,-420,-948,16512
11692858,27.74,37.96,-320,-960,16396
11693859,27.77,38.09,-304,-916,16416
11694861,27.76,38.01,-296,-976,16584
11695862,27.74,37.96,-324,-1040,16400
